Session Time,投訴,佔中,港獨,政改,示威,警察,公屋,股市,買樓,自由行,醫療
1/1/2004,1.57,,0,,0,2.82,,,,,
2/1/2004,2.92,,0,,0,4.28,,,,,
3/1/2004,6.25,,0,,0,7.29,,,,,
4/1/2004,9.48,,0,,1.15,9.28,,,,,
5/1/2004,12.19,,0,,1.15,11.25,,,,,
6/1/2004,13.86,,0,,1.15,12.08,,,,,
7/1/2004,16.15,,0,,2.19,14.37,,,,,
8/1/2004,18.23,,0,,2.19,16.57,,,,,
9/1/2004,20,,3.12,,2.19,17.77,,,,,
10/1/2004,20.04,,3.12,,3.23,19.15,,,,,
11/1/2004,17.19,,3.12,,3.23,18.12,,,,,
12/1/2004,15.4,,3.12,,1.85,17.1,,,,,
1/1/2005,12.67,0.11,3.12,0.19,1.85,16.92,4.23,44.69,6.35,6.21,17.48
2/1/2005,12.23,0.11,3.12,-0.31,1.85,17.58,5.58,40.44,3.6,6.42,17.79
3/1/2005,10.73,0.11,3.12,-0.31,0.6,16.92,5.23,32.55,5.27,6.31,17.82
4/1/2005,9.59,0.11,3.12,-0.31,2.27,16.17,5.69,21.85,7.98,6.73,18.8
5/1/2005,6.87,0.11,-0.63,-0.31,3,13.27,5.3,16.28,8.81,6.81,18.73
6/1/2005,5.29,0.11,-0.63,-0.31,2.48,12.13,5.44,12.67,8.28,5.92,19.48
7/1/2005,6,-0.02,1.78,0,3.94,11.29,5.75,6.07,8.56,5.33,19.55
8/1/2005,5.48,0.09,1.78,0,4.67,11.75,6.03,3.28,7.31,5.12,20.38
9/1/2005,5.69,0.09,1.78,0,5.4,10.9,7.31,1.48,6.63,4.86,19.17
10/1/2005,6.84,0.09,1.78,0.31,5.4,10.25,7.04,0.48,7.35,3.94,18.92
11/1/2005,5.75,0.09,1.78,2.3,5.4,10.57,7.88,2.4,6.19,4.13,18
12/1/2005,4.86,0.09,1.78,4.48,4.13,9.67,8.02,3.13,2.94,3.92,15.46
1/1/2006,4,0.09,1.78,5.84,3.25,8.31,7.57,3.3,2.67,3.21,14.15
2/1/2006,5.69,0.09,1.78,5.84,2.38,7.9,7.67,3.75,5.42,2.96,13.84
3/1/2006,13.61,0.09,-1.1,5.67,1.15,10.15,6.73,4.73,3.42,3.5,12.42
4/1/2006,13.21,-0.04,-1.1,5.87,0.9,9.32,6.06,3.35,4.05,3.08,11.65
5/1/2006,15.55,-0.04,-1.1,6.08,0.02,10,4.8,7.46,2.79,3.15,12.65
6/1/2006,14.11,-0.04,-1.1,6.13,0.02,10.46,3.37,10.55,2.55,2.35,12.65
7/1/2006,14.86,-0.04,-1.1,3.75,1.06,9.38,1.83,9,2.17,1.42,12.94
8/1/2006,17,-0.04,-1.1,1.13,0.19,10.36,1.19,9.73,2.69,0.69,13.98
9/1/2006,16.46,-0.04,-1.1,-0.5,1.65,10.21,1.21,7.79,2.33,0.17,14.05
10/1/2006,16.75,-0.04,-1.1,-0.5,2.17,8.31,1.48,6.5,-2.17,0.36,13.04
11/1/2006,6.85,-0.04,-1.1,-0.54,1.96,3.67,1.6,8.44,-1.13,-0.06,13.33
12/1/2006,5.83,-0.04,-1.1,-0.79,1.21,4.27,0.9,9.31,-1.88,-0.43,12.9
1/1/2007,2.36,-0.04,-1.1,-1.04,2.56,3.71,0.96,9.75,-2.63,-0.52,12.15
2/1/2007,0.88,-0.04,-1.1,-1.54,3.6,2.78,1.75,8.42,-1.08,0.06,10.15
3/1/2007,1.56,-0.04,1.5,-1.33,2.77,1.9,2.86,9.96,-0.89,-0.22,8.71
4/1/2007,0.23,-0.04,2.85,-1.13,3.19,1.06,3.65,12.21,-0.16,0.3,6.85
5/1/2007,2.78,-0.04,2.85,-1.13,1.75,1.08,4.48,18.25,0.36,0.46,6.28
6/1/2007,2.08,-0.04,2.85,-1.02,1.12,2.06,4.46,25.32,1.61,0.27,5.96
7/1/2007,0.52,-0.04,2.85,-0.85,0.62,2.94,3.59,26.3,0.78,0.1,5.15
8/1/2007,0.36,-0.04,2.85,-0.75,0.94,1.59,3.8,30.05,2.23,0.81,5.5
9/1/2007,1.4,-0.04,2.85,-0.64,-0.37,-0.02,4.54,27.79,2.96,1.02,5.17
10/1/2007,2.83,-0.04,2.85,-0.64,-0.69,0.6,4.44,31.96,2.61,1.17,5.5
11/1/2007,2.5,-0.04,-0.27,-0.89,-0.25,0.85,5,32.98,3.46,1.52,5.15
12/1/2007,2.05,-0.04,-1.9,-0.93,-0.75,-0.23,4.15,30.98,4.33,1.19,5.19
1/1/2008,-1.06,-0.04,-1.9,-0.6,-0.81,-0.35,3.83,29.71,3.9,1.65,4.44
2/1/2008,-2.29,-0.04,-1.9,-0.72,-0.18,-1.21,4.56,23.69,3.13,2.13,3.9
